"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"2514","HSDL2","free.lambda",-0.71244171610551,1.71580809087106e-06,0.999922812803153,0,1.16674950179232e-05,"FoldChange","Kidney"
"4114","PARP15","free.lambda",-0.327531241886296,6.00369728523657e-06,0.999915885163264,0,3.71137650360079e-05,"FoldChange","Kidney"
"5103","ATF7IP2","free.lambda",0.18143909462473,1.13952268366205e-05,0.999874185517561,0,6.45729520741829e-05,"FoldChange","Kidney"
"3414","NEURL1B","free.lambda",-0.606515164227267,1.27258162842426e-05,0.999971787521649,0,6.65658082560384e-05,"FoldChange","Kidney"
"4914","RIPPLY1","free.lambda",0.297686839269571,3.23320134796536e-05,0.999886698610481,0,0.000157041208329746,"FoldChange","Kidney"
"7102","BCAS1","free.lambda",-0.0260019302800961,0.000265768330996931,0.999965616851683,0,0.00120481643385275,"FoldChange","Kidney"
"6511","TEDC1","free.lambda",-0.196788071654333,0.000316924121754613,0.999845949998633,0,0.0013469275174571,"FoldChange","Kidney"
"3614","NR4A3","no.lambda",-0.888215361855726,0.0441049771933262,0.788926529354363,0,0.176419908773305,"FoldChange","Kidney"
"5913","SLCO1A2","no.lambda",0.798480527159711,0.105250789889004,0.637571145685921,0,0.397614095136236,"FoldChange","Kidney"
"2614","HSPA8","no.lambda",0.780455222667917,0.119336292621413,0.609110353357405,0,0.41358935338621,"FoldChange","Kidney"
"4414","PER1","no.lambda",0.777564657772137,0.121643927466532,0.604606799236977,0,0.41358935338621,"FoldChange","Kidney"
"1515","ENPP7","no.lambda",0.716091577091632,0.173652784989151,0.51278715024959,0,0.555508254854476,"FoldChange","Kidney"
"1614","ERP27","free.lambda",0.695403331179369,0.182820858280849,0.925478659046447,0,0.555508254854476,"FoldChange","Kidney"
"5214","SLC26A9","no.lambda",0.700250691757343,0.187892497965484,0.490351028086667,0,0.555508254854476,"FoldChange","Kidney"
"6012","SLCO4A1","no.lambda",-0.684574994070689,0.202292337736545,0.46864292836058,0,0.573161623586879,"FoldChange","Kidney"
"2104","AOC1","free.lambda",0.233777992175949,0.231882528809093,0.959625245328466,0,0.58113388618992,"FoldChange","Kidney"
"6102","BCAN","free.lambda",0.700898305970368,0.235638507513907,0.727102968048114,0,0.58113388618992,"FoldChange","Kidney"
"4814","RBP4","no.lambda",0.668424134464796,0.217435933493737,0.44679082227734,0,0.58113388618992,"FoldChange","Kidney"
"6212","SYT10","free.lambda",-0.638926806451933,0.239290423725261,0.923610741064327,1,0.58113388618992,"FoldChange","Kidney"
"2014","FBXO40","free.lambda",-0.1498508661919,0.262961598675343,0.998975799862118,0,0.616599610687012,"FoldChange","Kidney"
"4104","ASPG","no.lambda",0.560502386952928,0.325708928408138,0.314162926725412,0,0.692131472867292,"FoldChange","Kidney"
